type,lat,lng,icon,name/subheader,subheader/text,description,size,angle,spacing,curve,coords,style,overlay
marker,-30.3731045201212,76.22521225521355,settlement,dsfds,,sdfsdf,,,,,,{},
marker,-21.80030805097259,44.89013671875001,settlement,Marker,,,,,,,,{},
marker,-76.97024507077676,-90.19775390625001,settlement,Marker,,,,,,,,{},
marker,-0.48337991318247436,135.2636894644682,settlement,Marker,,,,,,,,{},Settlements
marker,-5.265861413407452,143.45855110145004,settlement,Marker,,,,,,,,{},Settlements
marker,-20.015381961202028,152.51259230309853,forts,Unknown Fort or Palisade Village,,"Upon arrival in Cape Cod, the Pilgrims discovered the ruins of a walled fortress or palisaded village filled with remains of local Nauset who had died from disease near the mouth of Pamet River, at Truro. Unaware of its native origins, the pilgrims assumed the location to be of European Christian construction and falsely mistook it as a graveyard. In the Pilgrims Journal written by  George Morton, William Bradford, and Edward Winslow the following is written.""We found a great burying place, one part whereof was encompassed with a large Palazado, like a Church-yard, with yong spires foure or five yards long, set as close one by another as they could two or three foot in the ground, within it was full of Graves, some bigger, and some lesse, some were also paled about, & others had like an Indian house made over them, but not matted: those Graves were more sumptuous than those at Corne-hill, yet we digged none of them up,. but onely viewed them, and went our way; without the Palazado were graves also, but not so costl.""",,,,,,{},Forts
marker,-5.814505235409476,143.50309075890496,forts,Marker,,[^¹] dfgdfgdf g,,,,,,{},
marker,-66.57448342017541,29.157714843750004,forts,Marker,,,,,,,,{},
marker,-76.14822912651843,-144.40378202944026,rock,Mishow,,"The Grey Mare and Mishow were two  boulders said to have been placed in their location by Manitou, the boulders served as an important ritual site used for sacred ceremonies.",,,,,,{},
marker,-21.412044527198127,152.99608087382487,agriculture,Marker,,,,,,,,{},
marker,-21.289503937039772,153.36971045535952,wigwam,Marker,,,,,,,,{},
marker,19.621892180319374,11.645507812500002,mine,Coal Mine,fgfdgd,dfgdfgd,,,,,,{},Mines/Quarries
marker,44.2294565683017,-49.65820312500001,capital,Marker,,,,,,,,{},
marker,-45.70617928533085,57.01904296875001,agriculture,Marker,,,,,,,,{},
marker,-65.90165338613072,29.355468750000004,settlement,Marker,,,,,,,,{},Settlements
